Node,Shen268 - 10 Network names,Removed?
1,Motor,
2,Cerebellum,Removed
3,Insular,
4,Motor,
5,Insular,
6,Insular,
7,Motor,
8,Motor,
9,Motor,
10,Prefrontal Cortex,
11,Cerebellum,Removed
12,Prefrontal Cortex,
13,Insular,
14,Motor,
15,Cerebellum,Removed
16,Prefrontal Cortex,
17,Motor,
18,Cerebellum,Removed
19,Motor,
20,Cerebellum,Removed
21,Motor,
22,Motor,
23,Parietal,
24,Parietal,
25,Parietal,
26,Parietal,
27,Parietal,
28,Cerebellum,Removed
29,Cerebellum,Removed
30,Motor,
31,Motor,
32,Cerebellum,Removed
33,Parietal,
34,Parietal,
35,Parietal,
36,Cerebellum,Removed
37,Parietal,
38,Parietal,
39,Parietal,
40,Parietal,
41,Limbic,
42,Temporal,
43,Limbic,
44,Cerebellum,Removed
45,Parietal,
46,Parietal,
47,Motor,
48,Motor,
49,Insular,
50,Insular,
51,Parietal,
52,Prefrontal Cortex,
53,Prefrontal Cortex,
54,Prefrontal Cortex,
55,Motor,
56,Prefrontal Cortex,
57,Prefrontal Cortex,
58,Parietal,
59,Limbic,
60,Parietal,
61,Parietal,
62,Parietal,
63,Parietal,
64,Prefrontal Cortex,
65,Prefrontal Cortex,
66,Limbic,
67,Limbic,
68,Temporal,
69,Limbic,
70,Motor,
71,Limbic,
72,Temporal,
73,Limbic,
74,Limbic,
75,Temporal,
76,Occipital,
77,Temporal,
78,Occipital,
79,Temporal,
80,Temporal,
81,Occipital,
82,Temporal,
83,Cerebellum,Removed
84,Parietal,
85,Insular,
86,Insular,
87,Temporal,
88,Cerebellum,Removed
89,Parietal,
90,Insular,
91,Cerebellum,Removed
92,Parietal,
93,Subcortical,
94,Subcortical,
95,Subcortical,
96,Insular,
97,Parietal,
98,Temporal,
99,Subcortical,
100,Occipital,
101,Brainstem,Removed
102,Occipital,
103,Brainstem,Removed
104,Brainstem,Removed
105,Brainstem,Removed
106,Brainstem,Removed
107,Brainstem,Removed
108,Brainstem,Removed
109,Parietal,
110,Cerebellum,Removed
111,Motor,
112,Motor,
113,Brainstem,Removed
114,Brainstem,Removed
115,Insular,
116,Motor,
117,Brainstem,Removed
118,Brainstem,Removed
119,Cerebellum,Removed
120,Subcortical,
121,Subcortical,
122,Subcortical,
123,Subcortical,
124,Subcortical,
125,Subcortical,
126,Subcortical,
127,Subcortical,
128,Subcortical,
129,Brainstem,Removed
130,Brainstem,Removed
131,Brainstem,Removed
132,Brainstem,Removed
133,Brainstem,Removed
134,Insular,
135,Cerebellum,Removed
136,Cerebellum,Removed
137,Prefrontal Cortex,
138,Insular,
139,Motor,
140,Prefrontal Cortex,
141,Insular,
142,Motor,
143,Motor,
144,Cerebellum,Removed
145,Prefrontal Cortex,
146,Cerebellum,Removed
147,Motor,
148,Prefrontal Cortex,
149,Prefrontal Cortex,
150,Prefrontal Cortex,
151,Prefrontal Cortex,
152,Cerebellum,Removed
153,Prefrontal Cortex,
154,Motor,
155,Cerebellum,Removed
156,Prefrontal Cortex,
157,Motor,
158,Parietal,
159,Parietal,
160,Parietal,
161,Parietal,
162,Prefrontal Cortex,
163,Parietal,
164,Motor,
165,Prefrontal Cortex,
166,Parietal,
167,Parietal,
168,Parietal,
169,Cerebellum,Removed
170,Parietal,
171,Parietal,
172,Parietal,
173,Parietal,
174,Parietal,
175,Limbic,
176,Temporal,
177,Limbic,
178,Cerebellum,Removed
179,Parietal,
180,Parietal,
181,Parietal,
182,Motor,
183,Prefrontal Cortex,
184,Motor,
185,Prefrontal Cortex,
186,Prefrontal Cortex,
187,Prefrontal Cortex,
188,Parietal,
189,Parietal,
190,Prefrontal Cortex,
191,Parietal,
192,Prefrontal Cortex,
193,Motor,
194,Prefrontal Cortex,
195,Parietal,
196,Motor,
197,Parietal,
198,Temporal,
199,Motor,
200,Limbic,
201,Limbic,
202,Parietal,
203,Insular,
204,Limbic,
205,Temporal,
206,Limbic,
207,Temporal,
208,Temporal,
209,Limbic,
210,Limbic,
211,Temporal,
212,Occipital,
213,Occipital,
214,Occipital,
215,Temporal,
216,Temporal,
217,Subcortical,
218,Parietal,
219,Prefrontal Cortex,
220,Cerebellum,Removed
221,Cerebellum,Removed
222,Insular,
223,Insular,
224,Cerebellum,Removed
225,Insular,
226,Cerebellum,Removed
227,Insular,
228,Parietal,
229,Subcortical,
230,Subcortical,
231,Subcortical,
232,Subcortical,
233,Subcortical,
234,Subcortical,
235,Parietal,
236,Brainstem,Removed
237,Brainstem,Removed
238,Brainstem,Removed
239,Insular,
240,Limbic,
241,Occipital,
242,Motor,
243,Brainstem,Removed
244,Cerebellum,Removed
245,Cerebellum,Removed
246,Motor,
247,Motor,
248,Brainstem,Removed
249,Brainstem,Removed
250,Brainstem,Removed
251,Cerebellum,Removed
252,Brainstem,Removed
253,Brainstem,Removed
254,Brainstem,Removed
255,Brainstem,Removed
256,Brainstem,Removed
257,Subcortical,
258,Subcortical,
259,Subcortical,
260,Subcortical,
261,Subcortical,
262,Subcortical,
263,Subcortical,
264,Subcortical,
265,Subcortical,
266,Brainstem,Removed
267,Brainstem,Removed
268,Brainstem,Removed
