Node,Shen268 - 8 Networks,Shen268 - 10 Networks,10 anatomical regions (refer to https://bioimagesuiteweb.github.io/webapp/connviewer.html?species=human),Network number,Shen268 - 8 network label names,Shen 268 - 10 network label names,10 anatomical label names
1,2,2,1,1,Medial Frontal,Medial frontal,Prefrontal Cortex
2,4,8,1,2,Frontoparietal,Frontoparietal,Motor
3,3,3,1,3,Default Mode,Default Mode,Insular
4,2,2,1,4,Subcortical/Cerebellum,Motor,Parietal
5,3,3,1,5,Motor,Visual I,Temporal
6,3,3,1,6,Visual 1,Visual II,Occipital
7,2,2,1,7,Visual 2,Visual Association,Limbic
8,2,2,1,8,Visual Association,Limbic,Cerebellum
9,2,2,1,9,,Basal Ganglia,Subcortical
10,1,1,1,10,,Cerebellum,Brainstem
11,4,8,1,,,,
12,1,1,1,,,,
13,3,3,1,,,,
14,2,2,1,,,,
15,4,8,1,,,,
16,1,1,1,,,,
17,2,2,1,,,,
18,4,8,1,,,,
19,2,2,1,,,,
20,4,8,1,,,,
21,2,2,1,,,,
22,2,2,1,,,,
23,5,4,2,,,,
24,5,4,2,,,,
25,5,4,2,,,,
26,5,4,2,,,,
27,5,4,2,,,,
28,4,8,2,,,,
29,4,8,2,,,,
30,2,2,2,,,,
31,2,2,2,,,,
32,4,8,2,,,,
33,5,4,2,,,,
34,5,4,3,,,,
35,5,4,3,,,,
36,4,8,3,,,,
37,5,4,3,,,,
38,5,4,4,,,,
39,5,4,4,,,,
40,5,4,4,,,,
41,8,7,4,,,,
42,6,5,4,,,,
43,8,7,4,,,,
44,4,8,4,,,,
45,5,4,4,,,,
46,5,4,4,,,,
47,2,2,4,,,,
48,2,2,4,,,,
49,3,3,4,,,,
50,3,3,4,,,,
51,5,4,5,,,,
52,1,1,5,,,,
53,1,1,5,,,,
54,1,1,5,,,,
55,2,2,5,,,,
56,1,1,5,,,,
57,1,1,5,,,,
58,5,4,5,,,,
59,8,7,5,,,,
60,5,4,5,,,,
61,5,4,5,,,,
62,5,4,5,,,,
63,5,4,5,,,,
64,1,1,5,,,,
65,1,1,5,,,,
66,8,7,5,,,,
67,8,7,5,,,,
68,6,5,5,,,,
69,8,7,5,,,,
70,2,2,5,,,,
71,8,7,5,,,,
72,6,5,6,,,,
73,8,7,6,,,,
74,8,7,6,,,,
75,6,5,6,,,,
76,7,6,6,,,,
77,6,5,6,,,,
